Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
37.41667,12.825,,,
37.5,12.275,,,
37.58333,11.76111,,,
37.66667,12.55278,,,
37.75,12.84167,,,
37.83333,12.32222,,,
37.91667,12.83333,,,
38.0,12.46944,,,
38.08333,12.78333,,,
38.16667,12.65556,,,
38.25,12.5,,,
38.33333,12.53611,,,
38.41667,12.73333,,,
38.5,13.42778,,,
38.58333,13.04444,,,
38.66667,12.58611,,,
38.75,12.41389,,,
38.83333,13.04444,,,
38.91667,13.02778,,,
39.0,12.66389,,,
39.08333,13.06389,,,
39.16667,13.16667,,,
39.25,12.25833,,,
39.33333,12.53611,,,
39.41667,12.975,,,
39.5,12.45278,,,
39.58333,13.16389,,,
39.66667,13.27778,,,
39.75,13.09722,,,
39.83333,13.29167,,,
39.91667,12.63889,,,
40.0,12.55833,,,
40.08333,12.38333,,,
40.16667,12.61111,,,
40.25,12.375,,,
40.33333,12.74444,,,
40.41667,12.60833,,,
40.5,12.76389,,,
40.58333,13.16667,,,
40.66667,13.16111,,,
40.75,13.24167,,,
40.83333,12.93056,,,
40.91667,12.81944,,,
41.0,12.59722,,,
41.08333,13.37222,,,
41.16667,13.20833,,,
41.25,12.9,,,
41.33333,12.81389,,,
41.41667,13.05556,,,
41.5,12.75,,,
41.58333,12.80556,,,
41.66667,12.88333,,,
41.75,13.03056,,,
41.83333,12.84167,,,
41.91667,12.94444,,,
42.0,13.45556,,,
42.08333,13.32778,,,
42.16667,13.22222,,,
42.25,13.26111,,,
42.33333,12.33611,,,
42.41667,12.38611,,,
42.5,13.16944,,,
42.58333,12.78611,,,
42.66667,13.11944,,,
42.75,12.92778,,,
42.83333,12.99722,,,
42.91667,12.85833,,,
43.0,12.65278,,,
43.08333,12.38056,,,
43.16667,12.43611,,,
43.25,13.47778,,,
43.33333,12.84722,,,
43.41667,12.59167,,,
43.5,12.6,,,
43.58333,12.825,,,
43.66667,12.55833,,,
43.75,13.33611,,,
43.83333,13.04722,,,
43.91667,13.09722,,,
44.0,12.87778,,,
44.08333,13.26111,,,
44.16667,12.96389,,,
44.25,12.75278,,,
44.33333,12.625,,,
44.41667,12.69722,,,
44.5,13.03889,,,
44.58333,12.91111,,,
44.66667,12.72778,,,
44.75,13.23889,,,
44.83333,12.94444,,,
44.91667,13.16389,,,
45.0,13.45556,,,
45.08333,13.06667,,,
45.16667,13.23889,,,
45.25,13.06667,,,
45.33333,12.67778,,,
45.41667,12.91111,,,
45.5,12.97222,,,
45.58333,12.81389,,,
45.66667,12.875,,,
45.75,12.44444,,,
45.83333,13.45833,,,
45.91667,12.86667,,,
46.0,13.7,,,
46.08333,13.45,,,
46.16667,13.21944,,,
46.25,13.18889,,,
46.33333,13.46111,,,
46.41667,13.05833,,,
46.5,13.17778,,,
46.58333,12.90833,,,
46.66667,12.66389,,,
46.75,13.12778,,,
46.83333,13.5,,,
46.91667,12.975,,,
47.0,13.39722,,,
47.08333,13.09444,,,
47.16667,12.76389,,,
47.25,13.16111,,,
47.33333,13.09444,,,
47.41667,13.06389,,,
47.5,12.99167,,,
47.58333,12.73056,,,
47.66667,12.825,,,
47.75,13.15833,,,
47.83333,13.12222,,,
47.91667,12.90833,,,
48.0,13.28889,,,
48.08333,13.11389,,,
48.16667,12.75278,,,
48.25,12.32222,,,
48.33333,13.025,,,
48.41667,12.50556,,,
48.5,12.68889,,,
48.58333,12.80833,,,
48.66667,13.35,,,
48.75,12.34444,,,
48.83333,13.09444,,,
48.91667,12.83889,,,
49.0,13.15278,,,
49.08333,12.99444,,,
49.16667,13.29722,,,
49.25,13.43333,,,
49.33333,12.86944,,,
49.41667,12.79444,,,
