	time	irradiance	rh	outdoor_temperature
411	106.26764	-0.19113	86.0094	6.034799999999999
412	106.52605	-0.20768	85.2292	6.0898
413	106.78447	-0.19753	84.2126	6.1843
414	107.04285	-0.25462	84.8534	5.8886
415	107.30126	-0.1986	84.5956	5.917
416	107.55967	-0.24385	85.6285	5.418899999999999
417	107.81807	-0.12823	80.6345	6.438599999999999
418	108.07648	-0.18016	82.1676	6.139199999999999
419	108.33489	-0.15506	77.9281	6.8103
420	108.59329	-0.17781	76.6321	7.1213999999999995
421	108.85172	-0.21531	78.0093	6.807699999999999
422	109.11011	-0.19523	77.5172	6.9092
423	109.36853	-0.1359	75.5698	7.3896999999999995
424	109.62692	-0.14707	75.8094	7.389999999999999
425	109.88533	-0.13941	75.8683	7.4887
426	110.14374	-0.09205	72.523	8.0428
427	110.40215	-0.12764	71.4474	8.1775
428	110.66056	-0.17343	72.3217	7.920600000000002
429	110.91896	-0.11296	72.031	7.898600000000002
430	111.17737	-0.18113	73.2205	7.6472
431	111.43579	-0.11469	72.9884	7.608699999999999
432	111.69419	-0.05587	73.5191	7.5139
433	111.95259	0.90883	73.5705	7.645299999999999
434	112.21101	15.63757	72.2295	8.046
435	112.46942	37.31081	71.1575	8.4196
436	112.72782	49.42887	69.3295	8.9027
437	112.98622	59.41111	67.0903	9.9732
438	113.24463	69.03336	65.0371	10.2965
439	113.50303	68.50101	65.9826	10.3391
440	113.76145	42.62266	66.1225	10.0109
441	114.01985	84.5248	63.88239999999999	10.6479
442	114.27827	85.68829	63.602000000000004	11.4706
443	114.53666	89.14266	64.4607	11.4602
444	114.79513	91.18424	59.7494	12.3545
445	115.05355	91.80405	57.2954	12.7611
446	115.31195	92.86258	56.3949	13.5857
447	115.57036	95.68652	52.7789	14.7089
448	115.82876	95.66049	51.845	14.779399999999999
449	116.08718	96.58852	52.3583	15.325
450	116.34558	98.01406	49.3363	15.388699999999998
451	116.60399	88.95448	50.4959	14.6169
452	116.8624	99.65484	50.243399999999994	14.4567
453	117.12081	99.49092	50.4976	14.404100000000001
454	117.37931	87.22224	51.3675	14.5649
455	117.63769	23.92384	52.5091	14.3268
456	117.89619	37.3875	53.6672	13.9514
457	118.15458	94.83694	54.3869	14.165
458	118.41298	91.03545	51.6686	14.4253
459	118.67144	89.22694	50.938	14.4705
460	118.92987	88.36985	51.4588	14.578799999999998
461	119.18843	84.59064	50.7848	15.0018
462	119.44714	62.27998	50.9789	15.0168
463	119.70608	75.06283	52.5466	14.654399999999999
464	119.96454	69.63298	54.3613	14.3144
465	120.22307	3.51413	54.8982	14.113
466	120.4815	3.08315	54.3949	13.9972
467	120.73991	3.0114	54.7273	13.7356
468	120.9983	2.00807	55.3096	13.629499999999998
469	121.25671	1.04556	56.1375	13.351799999999999
470	121.51512	0.0928	57.6713	12.952899999999998
471	121.77366	-0.11999	58.756	12.831
472	122.03207	-0.17042	60.21929999999999	12.4887
473	122.29074	-0.22186	61.6981	12.143600000000001
474	122.54916	-0.18151	62.15389999999999	12.0386
475	122.80757	-0.2712	65.6009	11.3677
476	123.0662	-0.16577	66.2119	11.0417
477	123.3246	-0.0287	67.3656	10.937
478	123.58302	-0.04001	68.20110000000001	11.0408
479	123.84143	-0.06458	69.5677	10.6098
480	124.09995	-0.03367	69.138	10.4802
481	124.35837	-0.12785	67.1104	10.7195
482	124.61676	-0.13926	67.0053	10.7743
483	124.87551	-0.22037	68.926	10.3847
484	125.13392	-0.23518	71.1463	9.9594
485	125.39236	-0.18946	72.0089	9.9019
486	125.65074	-0.17773	73.0731	9.6619
487	125.90914	-0.20452	75.5081	9.0577
488	126.16765	-0.20351	76.4703	8.7986
489	126.42658	-0.21442	76.5736	8.474
490	126.68522	-0.21697	77.4222	8.2075
491	126.94382	-0.19864	77.6571	8.1176
492	127.20223	-0.20406	78.5157	7.933199999999999
493	127.46064	-0.20091	80.0463	7.4801
494	127.71904	-0.11581	80.0571	7.460300000000002
495	127.97745	-0.13007	80.0519	7.463099999999999
496	128.23585	-0.19554	81.8247	7.0123
497	128.49426	-0.14463	81.6705	7.158500000000002
498	128.75267	-0.12927	81.7131	7.196200000000001
499	129.01107	-0.1402	82.3808	6.976799999999999
500	129.2695	-0.13525	80.3241	7.2995
501	129.52789	-0.1817	83.6263	7.0123
502	129.78638	-0.20768	83.813	6.5015
503	130.04477	-0.14705	84.0553	6.4564
504	130.30318	-0.1304	84.4522	6.5283
505	130.56166	-0.18452	84.9037	6.2578
506	130.82015	-0.19558	85.814	5.879099999999999
507	131.07862	-0.18812	86.0228	5.7508
508	131.33709	-0.14819	86.3914	5.9878
509	131.59556	-0.20451	85.6221	5.7379999999999995
510	131.85405	-0.19587	86.6217	5.444599999999999
511	132.11256	-0.17697	88.5777	5.310599999999999
512	132.37102	-0.15262	88.4168	5.039999999999999
513	132.62947	-0.14864	88.0762	5.1104
514	132.88796	-0.13842	87.5943	5.168199999999999
515	133.14643	-0.13573	87.3621	5.347899999999999
516	133.4049	-0.18554	87.2426	5.0207999999999995
517	133.66338	-0.14039	88.518	4.8841
518	133.92185	-0.05555	87.3053	5.0055
519	134.18027	-0.05839	87.2506	5.0717
520	134.4387	-0.04801	87.2023	5.1523
521	134.69709	-0.03011	87.3825	5.3346
522	134.95548	-0.06314	86.6031	5.367899999999999
523	135.21389	-0.0955	86.8035	5.263
524	135.4723	-0.00457	87.111	5.406799999999999
525	135.7307	0.0245	85.5328	5.760399999999999
526	135.98912	0.29878	84.7088	5.6966
527	136.24753	3.03942	85.34160000000001	5.719299999999999
528	136.50593	4.58794	84.5611	5.966199999999999
529	136.76433	16.43843	83.0546	5.943399999999999
530	137.02276	7.15938	83.4286	5.715399999999999
531	137.28116	30.46307	83.3354	6.0497
532	137.53958	62.5426	77.1817	7.7913000000000014
533	137.79797	20.58082	72.6835	9.0134
534	138.05639	60.34408	70.2434	9.6461
535	138.31478	68.60453	70.407	9.8122
536	138.57319	81.127	66.9061	10.4223
537	138.8316	86.70846	66.1096	10.5009
538	139.09008	91.12196	63.8754	11.042
539	139.34847	94.63811	61.228899999999996	12.1043
540	139.6069	46.47435	60.00500000000001	12.744
541	139.8653	107.91112	57.8939	13.0884
542	140.12373	34.73742	57.5331	13.3356
543	140.3821	95.93312	56.7791	13.3856
544	140.64052	96.01523	55.5967	13.8034
545	140.89892	26.6441	54.1687	14.0632
546	141.15734	64.50032	58.3539	13.2833
547	141.41573	85.84528	57.4762	13.6807
548	141.67415	58.47818	57.0189	14.2235
549	141.93256	88.68935	59.1117	14.0267
550	142.19098	31.87592	60.82039999999999	13.965
551	142.44937	55.87794	59.9717	14.189
552	142.70779	39.28922	61.5968	13.7186
553	142.96617	16.70883	61.489599999999996	13.8267
554	143.22458	7.56276	63.1156	13.4079
555	143.483	27.73399	63.15089999999999	13.505
556	143.74141	11.64252	64.3079	13.5339
557	143.99981	8.94394	64.4145	13.2637
558	144.25822	5.3769	65.8382	12.9051
559	144.51662	5.18389	65.9685	12.9349
560	144.77505	3.57129	67.0	12.756200000000002
561	145.0335	2.6908	68.2199	12.4918
562	145.29191	0.87139	69.5873	12.1772
563	145.55032	0.01347	71.2103	11.7751
564	145.80872	-0.18584	72.5758	11.4333
565	146.06713	-0.15594	73.2778	11.2412
566	146.32554	-0.08962	73.3641	11.2966
567	146.58395	-0.1729	74.2923	11.0626
568	146.84235	-0.17683	75.4803	10.8022
569	147.10077	-0.19108	76.3095	10.5521
570	147.35917	-0.1538	78.0074	10.1145
571	147.61758	-0.12632	78.203	10.2048
572	147.876	-0.10745	78.2575	10.1723
573	148.13439	-0.14861	79.3071	9.7099
574	148.39279	-0.14943	80.7977	9.4372
575	148.65121	-0.15127	81.708	9.0392
576	148.90961	-0.09631	82.9984	8.9805
577	149.16802	-0.14968	82.7601	8.850900000000001
578	149.42643	-0.15493	83.7083	8.530400000000002
579	149.68483	-0.18819	84.8597	8.1509
580	149.94324	-0.14946	86.6444	7.939300000000001
581	150.20164	-0.11189	85.458	8.168900000000002
582	150.46006	-0.10989	85.231	8.119400000000002
583	150.71847	-0.05819	85.4893	8.1404
584	150.97687	-0.04304	85.2768	8.155600000000002
585	151.23528	-0.06471	84.9851	7.9918
586	151.49369	-0.12469	85.64	7.805899999999999
587	151.75209	-0.1213	84.6588	8.185
588	152.0105	-0.13647	84.9381	7.972299999999999
